sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,old_function_file,old_fucntion_loc,new_function_file,new_function_loc
964224b77fb4361e337d2f679fd4e6ccb2fa33c0,"Merge pull request #4124 from lamby/proceding-proceeding-typo

Correct proceding -> proceeding typo.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4124'],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_3.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_3.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_3.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_4.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_4.cpp,194,194,196,196,"printf(""RDB preamble is OK, proceding with AOF tail...\n"");","printf(""RDB preamble is OK, proceeding with AOF tail...\n"");",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_0.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_0.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_0.cpp,53,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_0.cpp,53
d9565379da0adf97caec12e9b88c17da51900e40,"Merge pull request #4128 from leonchen83/unstable

fix mismatch argument and return wrong value of clusterDelNodeSlots",[u'https://gitlab.kitware.com/cmake/cmake/issues/4128'],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_4.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_4.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_4.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_5.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_5.cpp,4195,4197,4196,4198,"addReplyErrorFormat(c,""I don't know about node %s"",
                    (char*)c->argv[3]->ptr);","addReplyErrorFormat(c,""I don't know about node %s"",
                    (char*)c->argv[4]->ptr);",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_1.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_1.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_1.cpp,140,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_1.cpp,140
314043552b3e0ce5f080d0fd2169d5c32f94a222,"Modules: don't crash when Lua calls a module blocking command.

Lua scripting does not support calling blocking commands, however all
the native Redis commands are flagged as ""s"" (no scripting flag), so
this is not possible at all. With modules there is no such mechanism in
order to flag a command as non callable by the Lua scripting engine,
moreover we cannot trust the modules users from complying all the times:
it is likely that modules will be released to have blocking commands
without such commands being flagged correctly, even if we provide a way to
signal this fact.

This commit attempts to address the problem in a short term way, by
detecting that a module is trying to block in the context of the Lua
scripting engine client, and preventing to do this. The module will
actually believe to block as usually, but what happens is that the Lua
script receives an error immediately, and the background call is ignored
by the Redis engine (if not for the cleanup callbacks, once it
unblocks).

Long term, the more likely solution, is to introduce a new call called
RedisModule_GetClientFlags(), so that a command can detect if the caller
is a Lua script, and return an error, or avoid blocking at all.

Being the blocking API experimental right now, more work is needed in
this regard in order to reach a level well blocking module commands and
all the other Redis subsystems interact peacefully.

Now the effect is like the following:

    127.0.0.1:6379> eval ""redis.call('hello.block',1,5000)"" 0
    (error) ERR Error running script (call to
    f_b5ba35ff97bc1ef23debc4d6e9fd802da187ed53): @user_script:1: ERR
    Blocking module command called from Lua script

This commit fixes issue #4127 in the short term.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4127'],src/module.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_7.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_7.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_7.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_8.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_8.cpp,3346,3351,3348,3355,,"addReplyError(c,""Blocking module command called from Lua script"");",7,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_2.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_2.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_2.cpp,16,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_2.cpp,23
a3778f3b0f0aacbb34ecc77541615a9eda251443,"Make representClusterNodeFlags() more robust.

This function failed when an internal-only flag was set as an only flag
in a node: the string was trimmed expecting a final comma before
exiting the function, causing a crash. See issue #4142.
Moreover generation of flags representation only needed at DEBUG log
level was always performed: a waste of CPU time. This is fixed as well
by this commit.",[u'https://gitlab.kitware.com/cmake/cmake/issues/4142'],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_8.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_8.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_8.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_9.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_9.cpp,1323,1323,1326,1327,"serverLog(LL_DEBUG,""GOSSIP %.40s %s:%d@%d %s"",
            g->nodename,
            g->ip,
            ntohs(g->port),
            ntohs(g->cport),
            ci);","serverLog(LL_DEBUG,""GOSSIP %.40s %s:%d@%d %s"",
                g->nodename,
                g->ip,
                ntohs(g->port),
                ntohs(g->cport),
                ci);",7,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_3.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_3.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_3.cpp,11,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_3.cpp,12
2cdf4cc656cd74aa7c29360b13cf07d3e0e72afb,fix mismatch argument,[],src/cluster.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_9.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_9.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_9.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_10.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_10.cpp,4194,4194,4195,4195,"addReplyErrorFormat(c,""I don't know about node %s"",
                    (char*)c->argv[3]->ptr);","addReplyErrorFormat(c,""I don't know about node %s"",
                    (char*)c->argv[4]->ptr);",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_4.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_4.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_4.cpp,140,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_4.cpp,140
7560d347da90dad0ff8b13872aeb48de609d3c9f,Correct proceding -> proceeding typo.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_10.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_10.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_10.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_11.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_11.cpp,194,194,196,196,"printf(""RDB preamble is OK, proceding with AOF tail...\n"");","printf(""RDB preamble is OK, proceeding with AOF tail...\n"");",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_5.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_5.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_5.cpp,53,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_5.cpp,53
11182a1a58ef6d36f76f7a5e06d0598254b524d9,redis-check-aof: tell users there is a --fix option.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_13.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_13.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_13.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_17.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_17.cpp,220,220,222,222,"printf(""AOF is not valid\n"");","printf(""AOF is not valid. ""
                   ""Use the --fix option to try fixing it.\n"");",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_6.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_6.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_6.cpp,79,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_6.cpp,79
fc7ecd8d359160c5b74aa86c09eefdf4e9e2d653,AOF check utility: ability to check files with RDB preamble.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_15.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_20.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_20.cpp,60,55,62,57,"ERROR(""Expected prefix '%c', got: '%c'"",buf[0],prefix);","ERROR(""Expected prefix '%c', got: '%c'"",prefix,buf[0]);",3,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_7.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_7.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_7.cpp,7,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_7.cpp,7
fc7ecd8d359160c5b74aa86c09eefdf4e9e2d653,AOF check utility: ability to check files with RDB preamble.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_15.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_21.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_21.cpp,185,180,188,190,,"printf(""The AOF appears to start with an RDB preamble.\n""
                   ""Checking the RDB preamble to start:\n"");",7,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_8.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_8.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_8.cpp,40,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_8.cpp,47
fc7ecd8d359160c5b74aa86c09eefdf4e9e2d653,AOF check utility: ability to check files with RDB preamble.,[],src/redis-check-aof.c,second/download/redis/redis-old-new/redis-old-new/antirez_redis_old_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_new_file_15.cpp,second/download/redis/redis-old-new/redis-old-new/antirez_redis_patch_15.cpp,second/download/redis/redis-gumtree/antirez_redis_old_hunk_21.cpp,second/download/redis/redis-gumtree/antirez_redis_new_hunk_21.cpp,185,180,188,193,,"printf(""RDB preamble of AOF file is not sane, aborting.\n"");",7,second/download/redis/redis-gumtree/antirez_redis_old_new_old_log_9.cpp,second/download/redis/redis-gumtree/antirez_redis_old_new_new_log_9.cpp,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_old_function_9.cpp,40,second/download/redis/redis-old-new/redis-old-new-joern/antirez_redis_old_new_new_function_9.cpp,50
