patch_file,old_file,new_file,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,edit_words,edit_feature
patch-unified-0-1,apache_1.3.0/src/main/alloc.c,apache_1.3.1/src/main/alloc.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_5.cpp,1180,1180,"fprintf(stderr, ""table_set: key not in ancestor pool of t\n"");","fprintf(stderr, ""table_set: val not in ancestor pool of t\n"");",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_0.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_0.cpp,"[['key'], ['val']]",[-12386610637747436976L]
patch-unified-0-1,apache_1.3.0/src/main/http_config.c,apache_1.3.1/src/main/http_config.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_6.cpp,-1,512,,"ap_log_error(APLOG_MARK, APLOG_NOERRNO|APLOG_WARNING, r->server,
            ""handler \""%s\"" not found for: %s"", r->handler, r->filename);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_1.cpp,"[[], ['ap_log_error', 'APLOG_MARK', 'APLOG_NOERRNO', 'APLOG_WARNING', 'r', 'server', 'handler', '\\', '%s\\', 'not', 'found', 'for', '%s', 'r', 'handler', 'r', 'filename']]",[-772959194363488681]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,1359,1637,"fprintf (stderr,
""Error:\tApache has not been designed to serve pages while running\n""
""\tas root.  There are known race conditions that will allow any\n""
""\tlocal user to read any file on the system.  Should you still\n""
""\tdesire to serve pages as root then add -DBIG_SECURITY_HOLE to\n""
""\tthe EXTRA_CFLAGS line in your src/Configuration file and rebuild\n""
""\tthe server.  It is strongly suggested that you instead modify the\n""
""\tUser directive in your httpd.conf file to list a non-root user.\n"");","fprintf(stderr,
		""Error:\tApache has not been designed to serve pages while\n""
		""\trunning as root.  There are known race conditions that\n""
		""\twill allow any local user to read any file on the system.\n""
		""\tShould you still desire to serve pages as root then\n""
		""\tadd -DBIG_SECURITY_HOLE to the EXTRA_CFLAGS line in your\n""
		""\tsrc/Configuration file and rebuild the server.  It is\n""
		""\tstrongly suggested that you instead modify the User\n""
		""\tdirective in your httpd.conf file to list a non-root\n""
		""\tuser.\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_2.cpp,"[['while', 'running\\n', '\\tas', 'will', 'any\\n', '\\tlocal', 'Should', 'still\\n', '\\tdesire', 'then', 'add', 'to\\n', '\\tthe', 'src/Configuration', 'rebuild\\n', '\\tthe', 'is', 'strongly', 'that', 'the\\n', '\\tUser', 'directive', 'your', 'root', 'user'], ['while\\n', '\\trunning', 'that\\n', '\\twill', 'local', 'any', '\\tShould', 'still', 'desire', 'as', 'then\\n', '\\tadd', 'the', 'your\\n', '\\tsrc/Configuration', 'rebuild', 'the', 'is\\n', '\\tstrongly', 'the', 'User\\n', '\\tdirective', 'to', 'root\\n', '\\tuser', '\\n']]",[-10551395864186939204L]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,1386,1670,"fprintf(stderr,
		    ""Warning: Group directive in <VirtualHost> requires SUEXEC wrapper.\n"");","fprintf(stderr,
		    ""Warning: Group directive in <VirtualHost> requires ""
		    ""SUEXEC wrapper.\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_3.cpp,"[[], []]",[0]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,-1,1859,,"fprintf(stderr, ""WARNING: StartServers has no effect on Win32\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_4.cpp,"[[], ['fprintf', 'stderr', 'WARNING', 'StartServers', 'has', 'no', 'effect', 'on', 'Win32\\n']]",[-34593456654840270435L]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_11.cpp,2102,-1,"ap_log_error(APLOG_MARK, APLOG_NOERRNO|APLOG_WARNING,
	    r->server, ""handler \""%s\"" not found, using default ""
	    ""handler for: %s"", r->handler, r->filename);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_5.cpp,"[['ap_log_error', 'APLOG_MARK', 'APLOG_NOERRNO', 'APLOG_WARNING', 'r', 'server', 'handler', '\\', '%s\\', 'not', 'found', 'using', 'default', 'handler', 'for', '%s', 'r', 'handler', 'r', 'filename'], []]",[-3142131050042580299L]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_11.cpp,2116,-1,"ap_log_error(APLOG_MARK, APLOG_NOERRNO|APLOG_ERR, r->server,
		    ""Invalid method in request %s"", r->the_request);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_6.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_6.cpp,"[['ap_log_error', 'APLOG_MARK', 'APLOG_NOERRNO', 'APLOG_ERR', 'r', 'server', 'Invalid', 'method', 'in', 'request', '%s', 'r', 'the_request'], []]",[3882511496852103535]
patch-unified-0-1,apache_1.3.0/src/main/http_core.c,apache_1.3.1/src/main/http_core.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_11.cpp,-1,2567,,"ap_log_error(APLOG_MARK, APLOG_NOERRNO|APLOG_ERR, r->server,
		    ""Invalid method in request %s"", r->the_request);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_7.cpp,"[[], ['ap_log_error', 'APLOG_MARK', 'APLOG_NOERRNO', 'APLOG_ERR', 'r', 'server', 'Invalid', 'method', 'in', 'request', '%s', 'r', 'the_request']]",[-3882511496852103535]
patch-unified-0-1,apache_1.3.0/src/main/http_main.c,apache_1.3.1/src/main/http_main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_12.cpp,-1,885,,"fprintf(stderr, ""  -D name          : define a name for use in <IfDefine name> directives\n"");",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_8.cpp,"[[], ['fprintf', 'stderr', 'D', 'name', 'define', 'a', 'name', 'for', 'use', 'in', 'IfDefine', 'name', 'directives\\n']]",[-34591867513518926944L]
patch-unified-0-1,apache_1.3.0/src/main/http_main.c,apache_1.3.1/src/main/http_main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_12.cpp,-1,895,,"fprintf(stderr, ""  -t               : run syntax test for configuration files only\n"");",3,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_log_9.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_log_9.cpp,"[[], ['fprintf', 'stderr', 't', 'run', 'syntax', 'test', 'for', 'configuration', 'files', 'only\\n']]",[910688307149433949L]
